X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,geotracker_meta
4.35427427,50.83611822,0,0,196,129.47,2022-07-20 07:02:15+00,,,,,,,,,,,,,,,,,,,,,,
4.35436062,50.83603129,0,0,197,130.01,2022-07-20 07:02:18+00,,,,,,,,,,,,,,,,,,,,,,
4.35446648,50.83592164,0,0,198,132.4,2022-07-20 07:02:21+00,,,,,,,,,,,,,,,,,,,,,,
4.35456391,50.83582972,0,0,199,136.3,2022-07-20 07:02:23+00,,,,,,,,,,,,,,,,,,,,,,
4.35467141,50.8357446,0,0,200,139.9,2022-07-20 07:02:25+00,,,,,,,,,,,,,,,,,,,,,,
4.35481245,50.83565147,0,0,201,142.71,2022-07-20 07:02:28+00,,,,,,,,,,,,,,,,,,,,,,
4.35494207,50.83557942,0,0,202,142.91,2022-07-20 07:02:31+00,,,,,,,,,,,,,,,,,,,,,,
4.35505094,50.83569546,0,0,203,144.31,2022-07-20 07:03:13.999+00,,,,,,,,,,,,,,,,,,,,,,
4.35502659,50.83585044,0,0,204,127.91,2022-07-20 07:04:59.999+00,,,,,,,,,,,,,,,,,,,,,,
4.35506441,50.83577244,0,0,205,123.37,2022-07-20 07:07:00.999+00,,,,,,,,,,,,,,,,,,,,,,
4.35475487,50.83575009,0,0,206,133.41,2022-07-20 07:10:10.804+00,,,,,,,,,,,,,,,,,,,,,,
4.35498034,50.83578376,0,0,207,160.11,2022-07-20 07:10:11.818+00,,,,,,,,,,,,,,,,,,,,,,
4.35512212,50.83575468,0,0,208,159.5,2022-07-20 07:10:25.819+00,,,,,,,,,,,,,,,,,,,,,,
4.35527535,50.83599032,0,0,209,107.94,2022-07-20 07:10:26.819+00,,,,,,,,,,,,,,,,,,,,,,
4.35515531,50.83593903,0,0,210,112.66,2022-07-20 07:10:34.999+00,,,,,,,,,,,,,,,,,,,,,,
4.35520802,50.83584207,0,0,211,115.78,2022-07-20 07:10:37.999+00,,,,,,,,,,,,,,,,,,,,,,
4.35531776,50.83574183,0,0,212,116.58,2022-07-20 07:10:40.999+00,,,,,,,,,,,,,,,,,,,,,,
4.35542987,50.83566572,0,0,213,116.78,2022-07-20 07:10:42.999+00,,,,,,,,,,,,,,,,,,,,,,
4.3555345,50.83558729,0,0,214,115.98,2022-07-20 07:10:44.999+00,,,,,,,,,,,,,,,,,,,,,,
4.355641,50.83549007,0,0,215,115.83,2022-07-20 07:10:46.999+00,,,,,,,,,,,,,,,,,,,,,,
4.35574861,50.83537949,0,0,216,113.92,2022-07-20 07:10:48.999+00,,,,,,,,,,,,,,,,,,,,,,
4.35586801,50.83527071,0,0,217,110.85,2022-07-20 07:10:50.999+00,,,,,,,,,,,,,,,,,,,,,,
4.35597278,50.83517008,0,0,218,109.25,2022-07-20 07:10:52.999+00,,,,,,,,,,,,,,,,,,,,,,
4.35607166,50.83506124,0,0,219,111.02,2022-07-20 07:10:54.999+00,,,,,,,,,,,,,,,,,,,,,,
4.35616358,50.83495971,0,0,220,111.06,2022-07-20 07:10:56.999+00,,,,,,,,,,,,,,,,,,,,,,
4.35627261,50.83484679,0,0,221,110.94,2022-07-20 07:10:58.999+00,,,,,,,,,,,,,,,,,,,,,,
4.35636368,50.83474656,0,0,222,111.05,2022-07-20 07:11:00.999+00,,,,,,,,,,,,,,,,,,,,,,
4.35655537,50.8345445,0,0,223,111.71,2022-07-20 07:11:03.999+00,,,,,,,,,,,,,,,,,,,,,,
4.35663178,50.83446791,0,0,224,111.84,2022-07-20 07:11:04.999+00,,,,,,,,,,,,,,,,,,,,,,
