"t","longitude","latitude","x","y","label"
"250","2021-11-14 15:46:29",12.323168,56.166835,706321.044285279,6229620.51737573,"01-sailing"
"251","2021-11-14 15:46:39",12.323245,56.167217,706323.773399445,6229663.23739583,"01-sailing"
"252","2021-11-14 15:46:48",12.323312,56.167562,706326.08034131,6229701.81200804,"01-sailing"
"253","2021-11-14 15:46:59",12.323397,56.167942,706329.31644788,6229744.33352596,"01-sailing"
"254","2021-11-14 15:47:08",12.323467,56.168328,706331.589396583,6229787.4775218,"01-sailing"
"255","2021-11-14 15:47:18",12.323532,56.168715,706333.5466022,6229830.71778299,"01-sailing"
"256","2021-11-14 15:47:29",12.323602,56.169142,706335.599364795,6229878.42218183,"01-sailing"
"257","2021-11-14 15:47:48",12.323722,56.16987,706339.139598414,6229959.75624405,"01-sailing"
"258","2021-11-14 15:47:59",12.323782,56.170255,706340.796908486,6230002.75909204,"01-sailing"
"259","2021-11-14 15:48:08",12.323845,56.170638,706342.65102588,6230045.54846594,"01-sailing"
"260","2021-11-14 15:48:18",12.323918,56.171022,706345.12021336,6230088.47901008,"01-sailing"
"261","2021-11-14 15:48:29",12.324,56.17144,706347.965304624,6230135.21829464,"01-sailing"
"262","2021-11-14 15:48:39",12.324073,56.171822,706350.445014868,6230177.92638929,"01-sailing"
"263","2021-11-14 15:48:48",12.324145,56.172165,706353.071880786,6230216.2935565,"01-sailing"
"264","2021-11-14 15:48:59",12.324225,56.172552,706355.958912737,6230259.57876317,"01-sailing"
"265","2021-11-14 15:49:08",12.324317,56.172935,706359.611894816,6230302.45498675,"01-sailing"
"266","2021-11-14 15:49:18",12.324405,56.173318,706363.016558874,6230345.31924019,"01-sailing"
"267","2021-11-14 15:49:29",12.324508,56.17374,706367.142492771,6230392.56635017,"01-sailing"
"268","2021-11-14 15:49:39",12.32461,56.174123,706371.415567138,6230435.47253605,"01-sailing"
"269","2021-11-14 15:49:48",12.324695,56.174465,706374.853792929,6230473.76742972,"01-sailing"
"270","2021-11-14 15:50:00",12.324802,56.174882,706379.254331416,6230520.47039391,"01-sailing"
"271","2021-11-14 15:50:09",12.32487,56.175225,706381.632187161,6230558.82562302,"01-sailing"
"272","2021-11-14 15:50:19",12.324932,56.175607,706383.428326239,6230601.50082664,"01-sailing"
"273","2021-11-14 15:50:29",12.325002,56.176027,706385.516733388,6230648.42669864,"01-sailing"
"274","2021-11-14 15:50:39",12.325083,56.176455,706388.244564884,6230696.27534867,"01-sailing"
"275","2021-11-14 15:50:48",12.325142,56.1768,706390.052932764,6230734.82609936,"01-sailing"
"276","2021-11-14 15:51:00",12.325208,56.177223,706391.876754425,6230782.0736921,"01-sailing"
"277","2021-11-14 15:51:09",12.325268,56.177572,706393.725528313,6230821.0723603,"01-sailing"
"278","2021-11-14 15:51:19",12.32533,56.177918,706395.714416376,6230859.74333336,"01-sailing"
"279","2021-11-14 15:51:28",12.325418,56.178342,706398.897482122,6230907.16805144,"01-sailing"
"280","2021-11-14 15:51:39",12.325513,56.178765,706402.52006392,6230954.50251047,"01-sailing"
"281","2021-11-14 15:51:49",12.325598,56.179113,706405.9248329,6230993.46483739,"01-sailing"
"282","2021-11-14 15:52:00",12.32568,56.179538,706408.72991114,6231040.98283258,"01-sailing"
"283","2021-11-14 15:52:09",12.32574,56.17985,706410.776827843,6231075.86604277,"01-sailing"
